# starid	Teff	eTeffp	FeH	eFeH	Mk_2MASS	Mk-err
2127771917075703424	5873	60	0.36	0.04	12.389	0.02
2127771917075703424	5873	60	0.36	0.04	12.389	0.02
2107266570672734592	6125	60	0.24	0.04	10.234	0.02
2107342716152550272	6198	60	0.17	0.04	10.454	0.02
2086505630781210752	6212	60	0.2	0.04	10.795	0.02
2102119176929154304	6220	60	0.13	0.04	9.806	0.02
2051738798233021824	6284	60	0.13	0.04	11.591	0.02
2135590578620605568	6298	60	0.17	0.04	10.429	0.02
2131859244171951616	6318	60	0.12	0.04	11.151	0.02
2135002576119495936	6386	60	0.21	0.04	10.971	0.02
2079005651508492032	6563	60	0.06	0.04	11.67	0.02
